Region code;Region name (sourced);Item code;Item name (sourced);Unit;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
;Solothurn;1554;Total population;total / number;243908;243668;245264;246280;246807;247379;247937;248613;250240;251830;252748;255284;256990;259283;;;
;Basel-Landschaft;1554;Total population;total / number;258602;259634;261083;262949;264402;265305;266089;267166;269145;271214;272815;274404;275360;276537;;;
;Aargau;1554;Total population;total / number;540639;543685;550298;555782;560674;565122;569344;574813;581562;591632;600040;611466;618298;627340;;;
CH03 approx.;Basel;1554;Total population;total / number;1231607;1234409;1243114;1251730;1258536;1264559;1268971;1275414;1286174;1301348;1313501;1326104;1336903;1350585;;;
CH04 approx.;Bern;1554;Total population;total / number;943427;944024;946310;949590;951957;955378;957064;958897;962982;969299;974235;979802;985046;992617;;;
CH05 approx.;Vaud;1554;Total population;total / number;616275;619097;624980;631039;639105;647382;654093;662145;672039;688245;701526;713281;725944;734356;;;
CH06 approx.;St. Gallen;1554;Total population;total / number;447609;450239;452904;455251;457289;458821;459999;461810;465937;471152;474676;478907;483156;487060;;;
CH03;Basel;1554;Total population - ESPON;total / number;;827251;;;;;846943;;;;;;;;;;
CH04;Bern;1554;Total population - ESPON;total / number;;493638;;;;;493101;;;;;;;;;;
CH05;Lausanne;1554;Total population - ESPON;total / number;;397107;;;;;401909;;;;;;;;;;
CH06;St. Gallen;1554;Total population - ESPON;total / number;;229556;;;;;228872;;;;;;;;;;
ES11 approx.;Córdoba;1554;Total population;total / number;758001;760224;762179;766005;770517;775835;780679;786384;792681;797328;799757;801792;802717;800106;;;
ES06 approx.;M?laga;1554;Total population;total / number;1250168;1270669;1302638;1338402;1373760;1415713;1456083;1491784;1529003;1552894;1566667;1581343;1598137;1613958;;;
ES04 approx.;Sevilla;1554;Total population;total / number;1702478;1716029;1732697;1748400;1764493;1785135;1807971;1831956;1859555;1884107;1902956;1918747;1932573;1936218;;;
ES09 approx.;Palmas, Las;1554;Total population;total / number;869081;898850;892640;919570;943646;967922;991822;1016209;1040110;1056361;1066491;1077087;1089051;1098225;;;
ES03 approx.;Valencia/Val?ncia;1554;Total population;total / number;2154033;2178512;2226431;2275650;2321592;2371882;2418730;2467761;2522559;2550405;2553693;2559199;2562514;2544577;;;
ES15 approx.;Coru?a, A;1554;Total population;total / number;1089408;1095536;1096079;1100954;1104699;1109955;1115415;1121347;1128599;1135287;1138107;1140069;1141178;1138715;;;
ES13 approx.;Pontevedra;1554;Total population;total / number;895997;902510;905270;911201;916516;922305;927931;933944;940727;947703;951701;953802;954921;952741;;;
ES11;Córdoba;1554;Total population - ESPON;total / number;;337863;;;;;353988;;;;;;;;;;
ES06;Malaga;1554;Total population - ESPON;total / number;;635745;;;;;694964;;;;;;;;;;
ES04;Sevilla;1554;Total population - ESPON;total / number;;1242920;;;;;1329958;;;;;;;;;;
ES09;Palmas de las Gran Canaria;1554;Total population - ESPON;total / number;;465713;;;;;492850;;;;;;;;;;
ES03;Valencia;1554;Total population - ESPON;total / number;;1527606;;;;;1705028;;;;;;;;;;
ES15;A Coru?a;1554;Total population - ESPON;total / number;;469569;;;;;494204;;;;;;;;;;
ES13;Vigo;1554;Total population - ESPON;total / number;;464513;;;;;488520;;;;;;;;;;
GB12 approx.;Belfast;1554;Total population;total / number;649900;647400;648000;647600;648200;650300;653200;656600;661200;666000;670000;672100;673700;675600;;;
GB18 approx.;Bournemouth/Poole;1554;Total population;total / number;690700;693500;699200;701900;703800;709300;713700;722600;727200;730500;738100;745400;750200;754400;;;
